Target,USR,VAMS,ROCS Shape,USR Color,ROCS Color,AutoDock VINA,CHEESE Espsim,CHEESE Shapesim,Family
abl1,0.048,0.092,0.158,0.085,0.249,0.36,0.2663959729953253,0.3619673880034192,Protein kinases
ace,0.073,0.137,0.097,0.326,0.256,0.11,0.8042154731079636,0.7420753171509821,Miscellaneous
aces,0.012,0.012,0.052,0.023,0.093,0.33,0.2021459495544028,0.1043871435379319,Miscellaneous
ada,0.084,0.102,0.204,0.32,0.675,0.07,0.7595295103175543,0.6817928820390415,Miscellaneous
ada17,0.069,0.093,0.072,0.097,0.226,0.38,0.41577610844368,0.3840687298566185,Miscellaneous
adrb1,0.05,0.11,0.106,0.073,0.184,0.18,0.3338643900778457,0.2401423754982406,GPCR
adrb2,0.063,0.105,0.096,0.059,0.133,0.17,0.2985114454777727,0.2219414742493821,GPCR
akt1,0.031,0.032,0.026,0.051,0.069,0.23,0.2813635567652706,0.1280691780616393,Protein kinases
akt2,0.076,0.065,0.112,0.156,0.149,0.4,0.2602001688490698,0.2321304418239848,Protein kinases
aldr,0.077,0.205,0.245,0.0,0.453,0.3,0.4895027636998022,0.5061270591634769,Miscellaneous
ampc,0.055,0.265,0.303,0.422,0.471,0.06,0.4574030500838766,0.4371798556536667,Miscellaneous
andr,0.089,0.151,0.164,0.288,0.319,0.34,0.300847367110364,0.3393772847226811,Nuclear receptors
aofb,0.045,0.065,0.067,0.061,0.054,0.29,0.0918599348049142,0.1046760549910143,Miscellaneous
bace1,0.033,0.016,0.022,0.021,0.043,0.17,0.0441343617454552,0.0340582811546712,Cleaving enzymes
braf,0.093,0.181,0.288,0.202,0.342,0.37,0.3617631639086744,0.3371303075830495,Protein kinases
cah2,0.035,0.052,0.057,0.037,0.142,0.05,0.2434992345048566,0.1817197465769021,Miscellaneous
casp3,0.068,0.06,0.045,0.226,0.082,0.16,0.2745962641250082,0.1027268762923539,Miscellaneous
cdk2,0.108,0.189,0.255,0.25,0.27,0.21,0.2057287195552129,0.3774314286701974,Protein kinases
comt,0.089,0.146,0.257,0.299,0.738,0.07,0.6378117684785072,0.5033452762182183,Miscellaneous
cp2c9,0.041,0.089,0.093,0.059,0.077,0.15,0.0498265240762463,0.0881061376584768,CYP450
cp3a4,0.076,0.095,0.126,0.066,0.053,0.12,0.0822053293013361,0.1547201612773414,CYP450
