Target,CHEESE Espsim,CHEESE Shapesim,Family,GOLD,GLIDE,SURFLEX,FLEXX
abl1,0.1309955878237731,0.291618478347816,Protein kinases,0.48,0.32,0.35,0.51
ace,0.7604689446023407,0.7586970966278377,Miscellaneous,0.3,0.1,0.09,0.03
aces,0.0979228122728923,0.0579512535356851,Miscellaneous,0.37,0.16,0.12,0.03
ada,0.736328159734881,0.6666119554957421,Miscellaneous,0.32,0.12,0.19,0.18
ada17,0.317667872581359,0.2852827429174117,Miscellaneous,0.35,0.46,0.56,0.05
adrb1,0.326369179147967,0.2209081557425607,Gpcr,0.43,0.31,0.25,0.18
adrb2,0.2699290297053265,0.1987259204964239,Gpcr,0.43,0.5,0.41,0.36
akt1,0.1698882544239073,0.0960897805779552,Protein kinases,0.42,0.24,0.05,0.11
akt2,0.2059614640407453,0.2133058639385304,Protein kinases,0.62,0.41,0.24,0.27
aldr,0.5120004881632684,0.5245713218421957,Miscellaneous,0.4,0.39,0.14,0.21
ampc,0.4869434244960183,0.4583088176575108,Miscellaneous,0.04,0.09,0.0,0.04
andr,0.3734545858364803,0.3306574013483331,Nuclear receptors,0.04,0.37,0.08,0.01
aofb,0.0455696660866302,0.0798601569114522,Miscellaneous,0.29,0.15,0.15,0.1
bace1,0.0276583645621464,0.0101337862177479,Cleaving enzymes,0.43,0.26,0.27,0.19
braf,0.3751836301358303,0.3392378782552497,Protein kinases,0.43,0.56,0.15,0.51
cah2,0.1519817861009326,0.0916363844290314,Miscellaneous,0.29,0.08,0.04,0.17
casp3,0.2192499314901413,0.0451279563602768,Miscellaneous,0.53,0.56,0.37,0.49
cdk2,0.126028570772048,0.3279357079993352,Protein kinases,0.3,0.47,0.07,0.24
comt,0.4870934706034225,0.4607273629516084,Miscellaneous,0.68,0.71,0.05,0.17
cp2c9,0.0168911208272673,0.0692435975149873,Cyp450,0.12,0.04,0.05,0.19
cp3a4,0.0629541241833887,0.1255281464579991,Cyp450,0.21,0.17,0.13,0.08
csf1r,0.3862574585802084,0.3825768627711514,Protein kinases,0.36,0.32,0.05,0.45
cxcr4,0.3144820429534242,0.4794633877184983,Gpcr,0.08,0.01,0.27,0.01
def,0.4539666693640022,0.6428755229898752,Miscellaneous,0.49,0.18,0.62,0.01
dhi1,0.2999770290599308,0.3054966014822328,Miscellaneous,0.17,0.15,0.13,0.02
dpp4,0.0818179964360456,0.1981983828846284,Miscellaneous,0.29,0.18,0.09,0.21
drd3,0.0833674509086021,0.0464315750971335,Gpcr,0.18,0.04,0.15,0.06
dyr,0.6073503282375564,0.2641689645854148,Miscellaneous,0.66,0.4,0.41,0.2
egfr,0.5579820785938433,0.5754229190542062,Protein kinases,0.42,0.4,0.24,0.35
esr1,0.6346374512066191,0.5429491458981794,Nuclear receptors,0.41,0.79,0.45,0.5
esr2,0.4710830036540088,0.2547526730986102,Nuclear receptors,0.32,0.75,0.43,0.51
fa10,0.2065401656594661,0.1952763355866365,Proteases,0.74,0.31,0.31,0.74
fa7,0.2206538596607317,0.2641298763332246,Proteases,0.8,0.73,0.79,0.92
fabp4,0.5012524483220953,0.4977794054039213,Miscellaneous,0.62,0.45,0.12,0.37
fak1,0.3817452041941321,0.523053310645334,Protein kinases,0.51,0.34,0.12,0.31
fgfr1,0.4076729508282001,0.4466371129952337,Protein kinases,0.8,0.26,0.3,0.31
fkb1a,0.3352703795578036,0.1006314713900467,Miscellaneous,0.23,0.62,0.22,0.01
fnta,0.0842382034885959,0.0961962817877449,Miscellaneous,0.3,0.11,0.05,0.12
fpps,0.9708077745182436,0.9019199788539292,Miscellaneous,0.96,0.01,0.04,0.08
gcr,0.1341316370029055,0.3291489512291368,Nuclear receptors,0.13,0.21,0.3,0.18
glcm,0.1423998915200819,0.0337516113714458,Miscellaneous,0.89,0.48,0.93,0.22
gria2,0.5482953191451749,0.469852118183491,Ion channels,0.24,0.44,0.13,0.12
grik1,0.3341690150455602,0.1320877216376544,Ion channels,0.42,0.31,0.19,0.36
hdac2,0.1493726661190106,0.1176144490705199,Histone deacetylases,0.31,0.17,0.25,0.3
hdac8,0.1237747244943101,0.0752515550184843,Histone deacetylases,0.2,0.09,0.08,0.27
hivint,0.0835179483125468,0.1966070919871146,Miscellaneous,0.19,0.03,0.22,0.05
hivpr,0.2316137347236333,0.3512437076238612,Miscellaneous,0.3,0.14,0.1,0.05
hivrt,0.0559286977975217,0.1395914914672675,Miscellaneous,0.42,0.37,0.13,0.19
