Target,ECFP4,ROCS,Surflex Dock,CHEESE Espsim, CHEESE Shapesim
ADRB2,0.00,0.00,0.00,0.0,0.0
ALDH1,2.68,1.64,0.82,5.126,4.235
ESR1_ago,0.00,0.00,0.00,0.0,0.0
ESR1_ant,0.00,4.00,4.00,3.64,7.28
FEN1,1.09,0.00,3.26,13.177,9.883
GBA,2.44,0.00,4.88,17.059,12.185
IDH1,0.00,0.00,0.00,0.0,22.198
KAT2A,0.00,0.00,2.08,8.324,2.081
MAPK1,1.30,2.60,1.30,7.755,6.463
MTORC1,0.00,0.00,4.17,4.15,4.15
OPRK1,16.67,0.00,0.00,0.0,0.0
PKM2,0.74,2.21,0.74,5.142,2.204
PPARG,16.67,16.67,0.00,0.0,0.0
TP53,0.00,0.00,0.00,0.0,5.632
VDR,3.64,0.00,0.00,5.451,1.817
