Target,CHEESE Espsim,CHEESE Shapesim,ECFP4,ROCS,Surflex Dock
ADRB2,9.374397493573262,3.124799164524421,0.0,0.0,0.0
ALDH1,1.1979720063249306,1.179398796924544,1.58,1.08,1.25
ESR1_ago,2.0244444444444447,8.097777777777779,0.0,0.0,0.0
ESR1_ant,1.2133333333333334,0.48533333333333334,2.67,1.07,1.6
FEN1,2.196237746180341,2.196237746180341,1.09,0.0,3.26
GBA,0.0,0.4061667172688324,1.63,0.81,4.47
IDH1,1.5855576909388565,1.5855576909388565,1.59,0.79,0.79
KAT2A,1.3874148322851154,3.468537080712789,0.69,0.69,4.17
MAPK1,1.4648844661831677,0.861696744813628,0.95,1.39,1.99
MTORC1,0.0,3.7728185469149325,0.0,0.0,1.52
OPRK1,0.0,0.0,16.67,0.0,0.0
PKM2,1.632465077534282,1.79571158528771,1.31,2.13,0.9
PPARG,1.0703703703703702,3.2111111111111104,5.56,5.56,5.56
TP53,2.815972222222222,0.0,0.0,0.88,0.0
VDR,6.662174578866769,2.422608937769734,3.64,0.0,0.0
