metric,value,distribution
cheese,0.652158301886241,zinc22
cheese,0.7336258861862873,zinc22
cheese,0.6958940724107361,zinc22
cheese,0.7528755597877143,zinc22
cheese,0.6736147375880608,zinc22
cheese,0.6726455689746034,zinc22
cheese,0.6246861633561782,zinc22
cheese,0.6951359141100142,zinc22
cheese,0.6070438808312196,zinc22
cheese,0.6552370015065617,zinc22
cheese,0.659419130207407,zinc22
cheese,0.5903797715076178,zinc22
cheese,0.6768892184661769,zinc22
cheese,0.6082726679276068,zinc22
cheese,0.5624651873437289,zinc22
cheese,0.5741489916193103,zinc22
cheese,0.6060657792363888,zinc22
cheese,0.5909234781127749,zinc22
cheese,0.5245017652833647,zinc22
cheese,0.7819161017511619,zinc22
cheese,0.8423348086516714,zinc22
cheese,0.7497667099938486,zinc22
cheese,0.6774873104892392,zinc22
cheese,0.6777866097432305,zinc22
cheese,0.7428546158019671,zinc22
cheese,0.7899676691196461,zinc22
cheese,0.7956031916223157,zinc22
cheese,0.6855805977794756,zinc22
cheese,0.7898211494016076,zinc22
cheese,0.7795283241340962,zinc22
cheese,0.6601965350725407,zinc22
cheese,0.7024016397827081,zinc22
cheese,0.7444837717935233,zinc22
cheese,0.6412336807546063,zinc22
cheese,0.741386815925005,zinc22
cheese,0.7334131593691174,zinc22
cheese,0.7063272556980777,zinc22
cheese,0.6358131991247421,zinc22
cheese,0.6620826058558932,zinc22
cheese,0.6525147730141494,zinc22
cheese,0.6606342203388255,zinc22
cheese,0.6021819147684548,zinc22
cheese,0.6910866117195197,zinc22
cheese,0.5842047374331462,zinc22
cheese,0.6450723316614225,zinc22
cheese,0.6335627038969007,zinc22
cheese,0.7288884208994267,zinc22
cheese,0.6282626673790702,zinc22
cheese,0.6795083092054017,zinc22
cheese,0.6098321049013143,zinc22
cheese,0.7910550202297328,zinc22
cheese,0.6463435814307713,zinc22
cheese,0.501194921252419,zinc22
cheese,0.640460792188143,zinc22
cheese,0.6780153148676392,zinc22
cheese,0.6158175140444401,zinc22
cheese,0.7771840497093421,zinc22
cheese,0.5402753409465411,zinc22
cheese,0.630197903481656,zinc22
cheese,0.649278253589436,zinc22
cheese,0.5446856725895639,zinc22
cheese,0.7757218584136626,zinc22
cheese,0.7535510270983806,zinc22
cheese,0.6388866088788517,zinc22
cheese,0.5948266176220618,zinc22
cheese,0.5906169159151534,zinc22
cheese,0.656943454682705,zinc22
cheese,0.4463671535174007,zinc22
cheese,0.7418969684914949,zinc22
cheese,0.6216295046090673,zinc22
cheese,0.6660649588391452,zinc22
cheese,0.5513636202136558,zinc22
cheese,0.574742611923526,zinc22
cheese,0.5816753945754934,zinc22
cheese,0.6383801429202229,zinc22
cheese,0.8170465136025256,zinc22
cheese,0.7046947803097698,zinc22
cheese,0.7568056881950126,zinc22
cheese,0.7788020676618549,zinc22
cheese,0.7218456342695814,zinc22
cheese,0.7651599244442688,zinc22
cheese,0.6796490088861196,zinc22
cheese,0.7427405950466716,zinc22
cheese,0.7190960865555536,zinc22
cheese,0.737717226408903,zinc22
cheese,0.604988633579448,zinc22
cheese,0.6162028748956532,zinc22
cheese,0.6704272703776891,zinc22
cheese,0.6075655432753821,zinc22
cheese,0.6462760111088389,zinc22
cheese,0.7540184477652692,zinc22
cheese,0.6526158080488538,zinc22
cheese,0.669717929159628,zinc22
cheese,0.7135728022050163,zinc22
