"database","cheese_vs_random_D","cheese_vs_random_p","cheese_vs_morgan_D","cheese_vs_morgan_p"
"SureChEMBL 2024",0.713,"4.388e-118",0.09,"2.653e-02"
"COCONUT",0.703,"1.637e-177",0.105,"2.073e-04"
"FooDB",0.677,"2.075e-45",0.146,"1.616e-02"
"Freedom Diverse 2024",0.592,"8.633e-196",0.056,"3.529e-02"
"eXplore Diverse 2024",0.564,"1.129e-252",0.067,"4.976e-04"
"PubChem 2024",0.509,"2.236e-113",0.026,"8.893e-01"
"Enamine Diverse 2024",0.488,"3.629e-158",0.038,"2.197e-01"
"ZINC22",0.485,"1.167e-138",0.041,"1.965e-01"
"CHEMRIYA 1.2",0.476,"1.116e-04",0.333,"1.700e-02"
"ChEMBL 34",0.468,"1.563e-96",0.131,"6.550e-08"
"DrugBank 5",0.428,"2.423e-61",0.095,"1.921e-03"
"GDB17",0.372,"7.171e-104",0.02,"8.697e-01"
