"database","cheese_vs_random_D","cheese_vs_random_p","cheese_vs_morgan_D","cheese_vs_morgan_p"
"COCONUT",0.806,"2.877e-262",0.101,"1.465e-04"
"SureChEMBL 2024",0.789,"3.100e-177",0.098,"3.811e-03"
"CHEMRIYA 1.2",0.784,"1.726e-11",0.297,"7.450e-02"
"eXplore Diverse 2024",0.782,"0.000e+00",0.153,"8.810e-20"
"Freedom Diverse 2024",0.717,"2.176e-297",0.089,"4.791e-05"
"FooDB",0.714,"1.071e-67",0.181,"9.539e-05"
"PubChem 2024",0.659,"7.754e-239",0.23,"1.606e-29"
"Enamine Diverse 2024",0.639,"7.713e-275",0.158,"2.890e-17"
"DrugBank 5",0.631,"2.052e-207",0.108,"1.813e-06"
"ChEMBL 34",0.618,"2.255e-191",0.157,"9.144e-13"
"ZINC22",0.616,"6.180e-224",0.11,"1.589e-07"
"GDB17",0.457,"2.367e-154",0.129,"1.100e-12"
