metric,value,distribution
cheese,0.7318019093078759,zinc22
cheese,0.6599038974906567,zinc22
cheese,0.654675307499008,zinc22
cheese,0.683354728284125,zinc22
cheese,0.6280010790396546,zinc22
cheese,0.66657522973529,zinc22
cheese,0.6549324053004952,zinc22
cheese,0.6603272269612641,zinc22
cheese,0.6366671117639204,zinc22
cheese,0.6466271521309624,zinc22
cheese,0.643807309828232,zinc22
cheese,0.6435877261998426,zinc22
cheese,0.6460325665546653,zinc22
cheese,0.6613771606687446,zinc22
cheese,0.6612903225806452,zinc22
cheese,0.6176312247644684,zinc22
cheese,0.6372509150061001,zinc22
cheese,0.667350567637806,zinc22
cheese,0.6094570928196147,zinc22
cheese,0.6586666666666667,zinc22
cheese,0.6165223665223665,zinc22
cheese,0.6235621745974089,zinc22
cheese,0.5678125735813515,zinc22
cheese,0.5370035011469274,zinc22
cheese,0.5686900958466454,zinc22
cheese,0.6602002503128911,zinc22
cheese,0.5482880218405187,zinc22
cheese,0.6075964115111266,zinc22
cheese,0.6309552895186905,zinc22
cheese,0.5340109460516028,zinc22
cheese,0.5819377248480337,zinc22
cheese,0.649075215782984,zinc22
cheese,0.6156275587788045,zinc22
cheese,0.5735943655246508,zinc22
cheese,0.5807780320366133,zinc22
cheese,0.6283479497511258,zinc22
cheese,0.5793996468510889,zinc22
cheese,0.6750747627096607,zinc22
cheese,0.6886980333582275,zinc22
cheese,0.6517104610808131,zinc22
cheese,0.589379474940334,zinc22
cheese,0.6021850136563354,zinc22
cheese,0.6134159167932687,zinc22
cheese,0.5764880612361476,zinc22
cheese,0.6090125106279607,zinc22
cheese,0.6273658830620856,zinc22
cheese,0.6848955074458767,zinc22
cheese,0.5927015891701001,zinc22
cheese,0.5603935761140013,zinc22
cheese,0.6438356164383562,zinc22
cheese,0.6289219155461194,zinc22
cheese,0.6003470213996529,zinc22
cheese,0.6639861437585055,zinc22
cheese,0.5710170618214048,zinc22
cheese,0.6064638783269962,zinc22
cheese,0.6183880597014926,zinc22
cheese,0.5277660025434506,zinc22
cheese,0.5456324087927265,zinc22
cheese,0.5532145960034752,zinc22
cheese,0.5717262557578416,zinc22
cheese,0.5493986254295533,zinc22
cheese,0.5488170609796734,zinc22
cheese,0.5323904124379184,zinc22
cheese,0.5253689540019391,zinc22
cheese,0.5386140795416988,zinc22
cheese,0.5477977161500815,zinc22
cheese,0.5775418994413408,zinc22
cheese,0.5243688254665203,zinc22
cheese,0.567740487147828,zinc22
cheese,0.5601976639712489,zinc22
cheese,0.5457769895810242,zinc22
cheese,0.5352728047740836,zinc22
cheese,0.5252300856870835,zinc22
cheese,0.5839366515837103,zinc22
cheese,0.5399002493765586,zinc22
cheese,0.6371366924736641,zinc22
cheese,0.6512846733989518,zinc22
cheese,0.5996268656716418,zinc22
cheese,0.5892678034102308,zinc22
cheese,0.6232761953860033,zinc22
cheese,0.5677882236516576,zinc22
cheese,0.6290117167600611,zinc22
cheese,0.5967395425249589,zinc22
cheese,0.604862842892768,zinc22
cheese,0.6357599298333543,zinc22
cheese,0.6038413878562577,zinc22
cheese,0.5847184321508311,zinc22
cheese,0.5582659099142615,zinc22
cheese,0.6088883096572397,zinc22
cheese,0.6365330848089469,zinc22
cheese,0.6017221436833312,zinc22
cheese,0.5881494099038813,zinc22
cheese,0.6118973074514715,zinc22
